matchday,home_0_away_1,points_won,GF,GA,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_game_opp,,,,,,,,,,,
2,1,0,2,3,297.11,1.44,20,6,8,,,,,,,,,,,
4,1,1,0,0,205.32,1.65,9,14,14,,,,,,,,,,,
6,1,0,2,3,194.51,1.57,15,6,7,,,,,,,,,,,
9,1,0,1,2,-18.09,3.2,3,8,8,,,,,,,,,,,
11,1,0,0,1,278.06,1.4,14,8,8,,,,,,,,,,,
15,1,1,1,1,204.5,1.75,8,3,3,,,,,,,,,,,
24,0,0,0,1,45.1,1.85,3,5,5,,,,,,,,,,,
25,1,1,0,0,315.16,1.36,18,5,7,,,,,,,,,,,
32,1,1,1,1,66.38,2.15,4,4,4,,,,,,,,,,,
34,1,0,2,3,48.12,2.9,2,8,7,,,,,,,,,,,
26,0,1,2,2,344.14,1.17,14,3,4,,,,,,,,,,,
3,0,0,0,1,256.65,1.18,9,5,6,,,,,,,,,,,
4,1,1,2,2,85.27,2.5,3,14,13,,,,,,,,,,,
5,0,1,1,1,10.01,2.38,1,8,8,,,,,,,,,,,
9,1,0,1,2,266.99,1.55,12,7,7,,,,,,,,,,,
11,1,1,2,2,362.7,1.5,20,6,7,,,,,,,,,,,
19,0,1,2,2,356.9,1.18,19,2,2,,,,,,,,,,,
21,1,1,1,1,187.09,1.85,11,9,9,,,,,,,,,,,
22,0,0,0,2,93.17,1.8,3,8,7,,,,,,,,,,,
23,1,1,1,1,6.69,3.6,1,13,14,,,,,,,,,,,
24,0,1,1,1,363.26,1.18,18,7,7,,,,,,,,,,,
27,1,0,1,2,100.14,2.38,6,8,7,,,,,,,,,,,
29,1,0,0,1,342.51,1.44,19,10,10,,,,,,,,,,,
31,1,0,1,2,246.9,1.67,10,16,23,,,,,,,,,,,
32,1,0,2,4,44.07,2.88,4,6,8,,,,,,,,,,,
6,0,0,1,2,281.17,1.29,7,7,5,,,,,,,,,,,
7,1,0,1,4,185.33,1.91,3,7,6,,,,,,,,,,,
10,1,1,0,0,65.71,2.8,5,8,8,,,,,,,,,,,
12,1,1,0,0,342.64,1.44,20,8,6,,,,,,,,,,,
13,0,0,1,4,158.3,1.7,8,13,13,,,,,,,,,,,
15,1,0,0,2,190.77,1.7,9,7,7,,,,,,,,,,,
17,1,0,1,2,10.07,3,2,9,6,,,,,,,,,,,
19,1,1,0,0,146.6,1.85,1,3,6,,,,,,,,,,,
21,0,1,0,0,148.87,1.53,11,11,14,,,,,,,,,,,
23,1,1,2,2,173.44,1.73,7,7,7,,,,,,,,,,,
25,0,0,1,3,122.55,1.62,1,4,7,,,,,,,,,,,
26,0,0,1,2,69.33,2.1,3,8,6,,,,,,,,,,,
28,1,0,0,3,114.96,2.88,8,17,7,,,,,,,,,,,
30,1,1,0,0,272.83,1.6,19,7,7,,,,,,,,,,,
31,0,0,0,1,61.44,1.83,5,8,7,,,,,,,,,,,
27,1,1,1,1,289.53,1.57,18,3,7,,,,,,,,,,,
36,1,0,2,4,126.55,2.7,6,8,7,,,,,,,,,,,
37,0,1,2,2,36.84,2.5,2,7,6,,,,,,,,,,,
38,1,1,1,1,166.95,1.53,12,7,7,,,,,,,,,,,
7,1,0,0,2,67.01,2.5,2,8,8,,,,,,,,,,,
8,0,1,1,1,158.93,1.5,7,13,15,,,,,,,,,,,
9,0,1,1,1,98.78,1.5,8,8,7,,,,,,,,,,,
11,0,1,1,1,265.99,1.22,19,7,7,,,,,,,,,,,
14,0,0,1,3,31.99,2.15,1,7,7,,,,,,,,,,,
15,1,0,2,4,114.61,1.7,12,7,7,,,,,,,,,,,
19,1,0,0,1,15.99,3.1,4,5,4,,,,,,,,,,,
21,1,0,0,4,133.14,1.8,7,13,13,,,,,,,,,,,
22,0,1,2,2,1.11,2.15,2,6,7,,,,,,,,,,,
28,0,1,0,0,182.8,1.25,13,3,4,,,,,,,,,,,
29,0,1,1,1,38.56,2,4,11,7,,,,,,,,,,,
30,1,1,2,2,17.8,2.3,5,14,15,,,,,,,,,,,
31,1,0,1,2,-56.65,3.1,1,3,4,,,,,,,,,,,
26,0,1,0,0,-0.96,1.91,6,12,4,,,,,,,,,,,
35,1,1,2,2,264.31,1.25,19,3,4,,,,,,,,,,,
2,0,1,1,1,115.86,1.33,8,9,7,,,,,,,,,,,
21,1,1,0,0,351.18,1.28,11,4,2,,,,,,,,,,,
23,1,0,3,4,94.95,2.29,4,12,7,,,,,,,,,,,
26,1,1,1,1,297.94,1.28,7,3,7,,,,,,,,,,,
33,0,0,2,3,103.74,1.89,2,7,7,,,,,,,,,,,
37,0,1,0,0,425.32,1.08,16,7,6,,,,,,,,,,,
3,1,1,1,1,388.67,1.28,7,6,7,,,,,,,,,,,
8,1,1,0,0,21.86,2.8,2,8,8,,,,,,,,,,,
16,1,0,0,2,132.86,1.95,3,4,3,,,,,,,,,,,
18,0,0,2,3,347.11,1.14,12,7,7,,,,,,,,,,,
19,1,0,1,2,300.22,1.36,9,4,4,,,,,,,,,,,
24,1,0,1,2,350.39,1.18,13,9,10,,,,,,,,,,,